sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.02,1.0,20,chained,single,2000,0.078573719634163,0.36237032715230666,0.08102846845413955,0.21683265363264123,0.9697051065285051,0.0014241844075435857
0.02,1.0,20,chained,multi,2000,0.3662499056282602,0.36237032715230666,0.3623703271523066,1.0107061152231787,1.0107061152231789,-0.0117480701423295
0.02,1.0,20,indep,single,2000,0.35682900163181935,0.36237032715230666,0.36237032715230666,0.9847081145853361,0.9847081145853361,-0.002441004966945073
0.02,1.0,20,indep,multi,2000,0.3648561754723705,0.36237032715230666,0.36237032715230666,1.0068599665419597,1.0068599665419597,-0.0021187015427673803
0.02,1.0,50,chained,single,2000,0.03316384536806598,0.2291831180523293,0.03241138738165582,0.1447045735737555,1.023215852427102,0.0007865480244172363
0.02,1.0,50,chained,multi,2000,0.2323379333741053,0.2291831180523293,0.2291831180523293,1.0137654786643389,1.0137654786643389,0.011030052329038715
0.02,1.0,50,indep,single,2000,0.23060278643252086,0.2291831180523293,0.2291831180523293,1.0061944718801994,1.0061944718801994,0.0023427695825636538
0.02,1.0,50,indep,multi,2000,0.22727897201145414,0.2291831180523293,0.2291831180523293,0.9916915955369785,0.9916915955369785,0.0033075194642892144
0.02,1.0,100,chained,single,2000,0.01636395026039726,0.1620569369082791,0.01620569369082791,0.10097654918443215,1.0097654918443215,4.105455912518254e-05
0.02,1.0,100,chained,multi,2000,0.1663924341417783,0.1620569369082791,0.1620569369082791,1.02675292595437,1.02675292595437,-0.004695080749768578
0.02,1.0,100,indep,single,2000,0.16513213914082106,0.1620569369082791,0.1620569369082791,1.0189760604588156,1.0189760604588156,-0.001604084020978652
0.02,1.0,100,indep,multi,2000,0.17034170743629043,0.1620569369082791,0.1620569369082791,1.0511225911464708,1.0511225911464708,-0.003622061949336387
0.02,2.0,1,chained,single,2000,0.8179517035148224,0.8102846845413955,0.8102846845413955,1.0094621299398818,1.0094621299398818,-0.024444194546026893
0.02,2.0,1,chained,multi,2000,0.8142748740415209,0.8102846845413955,0.8102846845413955,1.004924429125035,1.004924429125035,-0.0354833313846688
0.02,2.0,1,indep,single,2000,0.8139911517421436,0.8102846845413955,0.8102846845413955,1.0045742777464022,1.0045742777464022,0.003852118477173574
0.02,2.0,1,indep,multi,2000,0.8076941397096631,0.8102846845413955,0.8102846845413955,0.9968029201573783,0.9968029201573783,-0.006294989064903796
0.02,2.0,2,chained,single,2000,0.40926737924963913,0.5729577951308232,0.40514234227069773,0.7143063288914522,1.0101816980072282,-0.003908704015471148
0.02,2.0,2,chained,multi,2000,0.5726965910443738,0.5729577951308232,0.5729577951308232,0.9995441128671793,0.9995441128671793,0.020409847088039477
0.02,2.0,2,indep,single,2000,0.5743144840857946,0.5729577951308232,0.5729577951308232,1.002367868918969,1.002367868918969,0.01187215069883074
0.02,2.0,2,indep,multi,2000,0.5772028085743645,0.5729577951308232,0.5729577951308232,1.0074089461381217,1.0074089461381217,-0.002308169426944501
0.02,2.0,5,chained,single,2000,0.15473739197453423,0.36237032715230666,0.1620569369082791,0.42701452183058325,0.9548334981927521,-0.004842578232487804
0.02,2.0,5,chained,multi,2000,0.3692980012977277,0.36237032715230666,0.3623703271523066,1.0191176639650996,1.0191176639650998,0.004564575558520142
0.02,2.0,5,indep,single,2000,0.3670519077175373,0.36237032715230666,0.36237032715230666,1.0129193264857554,1.0129193264857554,-0.013090071441956749
0.02,2.0,5,indep,multi,2000,0.3633359366806324,0.36237032715230666,0.36237032715230666,1.002664703635957,1.002664703635957,-0.0019588993035636808
