t,nx01_global_err_m,nx02_global_err_m,inter_agent_err_m,nx01_theta_deg,nx02_theta_deg
1788409889.892311,0.588160152308679,0.5886247367781917,0.003846290690255825,0.0,0.0
1788409889.9022722,0.588160152308679,0.5886247367781917,0.003846290690255825,0.0,0.0
1788409889.9123003,0.588160125346626,0.5886247367781917,0.0038463168569564344,0.0,0.0
1788409889.922291,0.5881598635476564,0.5886231297710061,0.0038443212105469483,0.0,0.0
1788409889.9322333,0.5881598400753867,0.5886335118498169,0.0038588432158086733,0.0,0.0
1788409889.9423604,0.5881598400753867,0.5886335118498169,0.0038588432158086733,0.0,0.0
1788409889.952394,0.5881598400753867,0.5886335118498169,0.0038588432158086733,0.0,0.0
1788409889.9621944,0.588159985360666,0.5886338813355957,0.0038583085346731404,0.0,0.0
1788409889.9722917,0.5881578711148819,0.5886350979372635,0.003837079466436376,0.0,0.0
1788409889.9822996,0.588157735211886,0.5886359327705942,0.003836784668816391,0.0,0.0
1788409889.9923396,0.588157735211886,0.5886359327705942,0.003836784668816391,0.0,0.0
1788409890.0023339,0.588157735211886,0.5886359327705942,0.003836784668816391,0.0,0.0
1788409890.0123017,0.5881573363443748,0.5886376322644847,0.0038359688371893833,0.0,0.0
1788409890.0222998,0.5881578252879083,0.5886367435508038,0.0038438014787805295,0.0,0.0
1788409890.0323052,0.5881578252879083,0.5886371819973214,0.003843311099009854,0.0,0.0
1788409890.0423336,0.5881578252879083,0.5886371819973214,0.003843311099009854,0.0,0.0
1788409890.0540307,0.5881579230105473,0.5886389207359219,0.0038416306939698017,0.0,0.0
1788409890.062691,0.5881581032223957,0.5886408130659125,0.0038406583170320723,0.0,0.0
1788409890.0723596,0.5882302303343756,0.5886427265734581,0.003761046107760974,0.0,0.0
1788409890.0823429,0.5882302303343756,0.5886427265734581,0.003761046107760974,0.0,0.0
1788409890.0922475,0.5882302295849078,0.588642726573641,0.0037610438726038563,0.0,0.0
1788409890.1022713,0.5882337190390495,0.588645061069685,0.0037559355742963,0.0,0.0
1788409890.1123326,0.5882359334168497,0.5886079095686879,0.0036845822046847124,0.0,0.0
1788409890.1223915,0.5882359334168497,0.5886079095686879,0.0036845822046847124,0.0,0.0
1788409890.1323009,0.5882359334168497,0.5886079095686879,0.0036845822046847124,0.0,0.0
1788409890.144837,0.5882387036996732,0.5886088451237015,0.003679670108797358,0.0,0.0
1788409890.1540802,0.5882394786189659,0.5886090145111885,0.003677735584738962,0.0,0.0
1788409890.1625886,0.588242535537329,0.5886083403211468,0.003674536429809672,0.0,0.0
1788409890.1723876,0.588278304274678,0.5886072394130303,0.00363522153722324,0.0,0.0
1788409890.1823416,0.5882783043027143,0.5886072394129718,0.0036352213381690723,0.0,0.0
1788409890.192362,0.5882783043027143,0.5886072394129718,0.0036352213381690723,0.0,0.0
1788409890.2022731,0.5882793187641314,0.5886072394129718,0.003634819191245757,0.0,0.0
1788409890.212297,0.588284474898633,0.5886057278451348,0.003630883355875511,0.0,0.0
1788409890.2222943,0.5882887534774783,0.5886101689552371,0.003598196893433179,0.0,0.0
1788409890.2322538,0.5882887534774783,0.5886101689552371,0.003598196893433179,0.0,0.0
1788409890.2423668,0.5882887534774783,0.5886101689552371,0.003598196893433179,0.0,0.0
1788409890.254268,0.5882940255965592,0.5886094338107779,0.003594723974548142,0.0,0.0
1788409890.2622979,0.588297991217274,0.5886084549216295,0.003592271968328524,0.0,0.0
1788409890.2723258,0.5883377703446834,0.5886075149567142,0.003565287441273262,0.0,0.0
